trip_id,start_time,end_time,headway_secs
NS.0,05:16:00,07:30:00,300
NS.0,07:30:00,09:30:00,210
NS.0,09:30:00,17:30:00,300
NS.0,17:30:00,19:30:00,210
NS.0,19:30:00,22:46:00,300
NS.1,06:10:00,07:30:00,300
NS.1,07:30:00,09:30:00,210
NS.1,09:30:00,17:30:00,300
NS.1,17:30:00,19:30:00,210
NS.1,19:30:00,23:48:00,300
EW.0,05:28:00,07:30:00,300
EW.0,07:30:00,09:30:00,210
EW.0,09:30:00,17:30:00,300
EW.0,17:30:00,19:30:00,210
EW.0,19:30:00,23:23:00,300
EW.1,05:19:00,07:30:00,300
EW.1,07:30:00,09:30:00,210
EW.1,09:30:00,17:30:00,300
EW.1,17:30:00,19:30:00,210
EW.1,19:30:00,23:20:00,300
CG.0,05:20:00,08:00:00,720
CG.0,08:00:00,09:00:00,480
CG.0,09:00:00,12:30:00,720
CG.0,12:30:00,14:00:00,480
CG.0,14:00:00,19:30:00,720
CG.0,19:30:00,22:15:00,480
CG.0,22:15:00,23:50:00,720
CG.1,05:31:00,08:00:00,720
CG.1,08:00:00,09:00:00,480
CG.1,09:00:00,12:30:00,720
CG.1,12:30:00,14:00:00,480
CG.1,14:00:00,19:30:00,720
CG.1,19:30:00,22:15:00,480
CG.1,22:15:00,23:18:00,720
NE.0,05:50:00,07:30:00,270
NE.0,07:30:00,09:30:00,180
NE.0,09:30:00,17:30:00,270
NE.0,17:30:00,19:30:00,180
NE.0,19:30:00,23:55:00,270
NE.1,05:42:00,07:30:00,270
NE.1,07:30:00,09:30:00,180
NE.1,09:30:00,17:30:00,270
NE.1,17:30:00,19:30:00,180
NE.1,19:30:00,23:28:00,270
CC.0,05:30:00,07:00:00,360
CC.0,07:00:00,10:00:00,210
CC.0,10:00:00,17:00:00,360
CC.0,17:00:00,21:00:00,210
CC.0,21:00:00,23:03:00,360
CC.1,05:30:00,07:00:00,360
CC.1,07:00:00,10:00:00,210
CC.1,10:00:00,17:00:00,360
CC.1,17:00:00,21:00:00,210
CC.1,21:00:00,23:03:00,360
CE.0,06:10:00,07:00:00,420
CE.0,07:00:00,10:00:00,420
CE.0,10:00:00,17:00:00,420
CE.0,17:00:00,21:00:00,420
CE.0,21:00:00,23:43:00,420
CE.1,05:59:00,07:00:00,420
CE.1,07:00:00,10:00:00,420
CE.1,10:00:00,17:00:00,420
CE.1,17:00:00,21:00:00,420
CE.1,21:00:00,23:55:00,420
DT.0,05:30:00,07:30:00,270
DT.0,07:30:00,09:30:00,150
DT.0,09:30:00,17:30:00,270
DT.0,17:30:00,19:30:00,150
DT.0,19:30:00,23:35:00,270
DT.1,05:36:00,07:30:00,270
DT.1,07:30:00,09:30:00,150
DT.1,09:30:00,17:30:00,270
DT.1,17:30:00,19:30:00,150
DT.1,19:30:00,23:40:00,270
TE.0,05:00:00,07:30:00,270
TE.0,07:30:00,09:30:00,150
TE.0,09:30:00,17:30:00,270
TE.0,17:30:00,19:30:00,150
TE.0,19:30:00,23:35:00,270
TE.1,05:00:00,07:30:00,270
TE.1,07:30:00,09:30:00,150
TE.1,09:30:00,17:30:00,270
TE.1,17:30:00,19:30:00,150
TE.1,19:30:00,23:40:00,270
SE.0,05:00:00,06:45:00,330
SE.0,06:45:00,08:45:00,210
SE.0,08:45:00,18:15:00,330
