agency_id,route_desc,route_id,route_long_name,route_short_name,route_type,route_url
SBS,Bus 10 operate from Tampines Bus Interchange to Kent Ridge Bus Terminal.,10,,10,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=10
SBS,Bus 100 operate from Serangoon Bus Interchange to Ghim Moh Bus Terminal.,100,,100,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=100
SBS,Bus 100A operate from Serangoon Bus Interchange to Aljunied MRT station.,100A,,100A,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=100A
SBS,Bus 101 operate from Serangoon Bus Interchange to Buangkok Crescent.,101,,101,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=101
SBS,Bus 102 operate from Hougang Central Bus Interchange to Seletar Airport.,102,,102,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=102
SBS,Bus 103 operate from Serangoon Bus Interchange to Yishun Bus Interchange.,103,,103,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=103
SBS,Bus 105 operate from Jurong East Bus Interchange to Serangoon Bus Interchange.,105,,105,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=105
SBS,Bus 105B operate from Jurong East Bus Interchange to Clementi MRT station.,105B,,105B,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=105B
TTS,Bus 106 operate from Bukit Batok Bus Interchange to Shenton Way Bus Terminal.,106,,106,3,https://towertransit.sg/our-routes/
TTS,Bus 106A operate from Bukit Batok Bus Interchange to Clementi MRT station.,106A,,106A,3,https://towertransit.sg/our-routes/
SBS,Bus 107 operate from Hougang Central Bus Interchange to Shenton Way Bus Terminal.,107,,107,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=107
SBS,Bus 107M operate from Hougang Central Bus Interchange to Marina Centre.,107M,,107M,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=107M
SBS,Bus 109 operate from Serangoon Bus Interchange to Changi Village Bus Terminal.,109,,109,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=109
SBS,Bus 109A operate from Serangoon Bus Interchange to Hougang Avenue 4.,109A,,109A,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=109A
SBS,Bus 10e operate from [AM Peak] Bedok Road to [AM Peak]Shenton Way.,10e,,10e,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=10e
SBS,Bus 11 operate from Lorong 1 Geylang Bus Terminal to Rhu Cross.,11,,11,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=11
SMRT,Bus 110 operate from Compassvale Bus Interchange to Changi Airport.,110,,110,3,http://journey.smrt.com.sg/journey/bus_search/bus/110/
SBS,Bus 111 operate from Ghim Moh Bus Terminal to Marina Centre.,111,,111,3,https://www.sbstransit.com.sg/Service/BusService?ServiceType=Basic&ServiceNo=111
