arrival_time,departure_time,stop_id,stop_sequence,trip_id
6:00:00,6:00:00,BP1,1,BP.0
6:01:00,6:01:00,BP2,2,BP.0
6:02:00,6:02:00,BP3,3,BP.0
6:03:00,6:03:00,BP4,4,BP.0
6:05:00,6:05:00,BP5,5,BP.0
6:06:00,6:06:00,BP6,6,BP.0
6:07:00,6:07:00,BP7,7,BP.0
6:08:00,6:08:00,BP8,8,BP.0
6:09:00,6:09:00,BP9,9,BP.0
6:10:00,6:10:00,BP10,10,BP.0
6:11:00,6:11:00,BP11,11,BP.0
6:12:00,6:12:00,BP12,12,BP.0
6:13:00,6:13:00,BP13,13,BP.0
6:00:00,6:00:00,CC1,1,CC.0
6:02:00,6:02:00,CC2,2,CC.0
6:04:00,6:04:00,CC3,3,CC.0
6:06:00,6:06:00,CC4,4,CC.0
6:08:00,6:08:00,CC5,5,CC.0
6:10:00,6:10:00,CC6,6,CC.0
6:12:00,6:12:00,CC7,7,CC.0
6:14:00,6:14:00,CC8,8,CC.0
6:16:00,6:16:00,CC9,9,CC.0
6:18:00,6:18:00,CC10,10,CC.0
6:20:00,6:20:00,CC11,11,CC.0
6:22:00,6:22:00,CC12,12,CC.0
6:25:00,6:25:00,CC13,13,CC.0
6:27:00,6:27:00,CC14,14,CC.0
6:29:00,6:29:00,CC15,15,CC.0
6:32:00,6:32:00,CC16,16,CC.0
6:34:00,6:34:00,CC17,17,CC.0
6:39:00,6:39:00,CC19,19,CC.0
6:41:00,6:41:00,CC20,20,CC.0
6:44:00,6:44:00,CC21,21,CC.0
6:46:00,6:46:00,CC22,22,CC.0
6:48:00,6:48:00,CC23,23,CC.0
6:50:00,6:50:00,CC24,24,CC.0
6:52:00,6:52:00,CC25,25,CC.0
6:54:00,6:54:00,CC26,26,CC.0
6:57:00,6:57:00,CC27,27,CC.0
6:59:00,6:59:00,CC28,28,CC.0
7:01:00,7:01:00,CC29,29,CC.0
6:00:00,6:00:00,CE0,0,CE.0
6:02:00,6:02:00,CE1,1,CE.0
6:04:00,6:04:00,CE2,2,CE.0
6:00:00,6:00:00,CG0,0,CG.0
6:02:00,6:02:00,CG1,1,CG.0
6:06:00,6:06:00,CG2,2,CG.0
6:00:00,6:00:00,DT1,1,DT.0
6:02:00,6:02:00,DT2,2,DT.0
