direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,wheelchair_accessible
0,BP,FULLW,BP.0_shape,CHOA CHU KANG to SENJA,BP.0,1
0,CC,FULLW,CC.0_shape,DHOBY GHAUT to HARBOURFRONT,CC.0,1
0,CE,FULLW,CE.0_shape,PROMENADE to MARINA BAY,CE.0,1
0,CG,FULLW,CG.0_shape,TANAH MERAH to CHANGI AIRPORT,CG.0,1
0,DT,FULLW,DT.0_shape,BUKIT PANJANG to EXPO,DT.0,1
0,EW,FULLW,EW.0_shape,PASIR RIS to TUAS LINK,EW.0,1
0,NE,FULLW,NE.0_shape,HARBOURFRONT to PUNGGOL,NE.0,1
0,NS,FULLW,NS.0_shape,JURONG EAST to MARINA SOUTH PIER,NS.0,1
0,PE,FULLW,PE.0_shape,PUNGGOL to DAMAI,PE.0,1
0,PW,FULLW,PW.0_shape,PUNGGOL to SOO TECK,PW.0,1
0,SE,FULLW,SE.0_shape,SENGKANG to RANGGUNG,SE.0,1
0,SW,FULLW,SW.0_shape,SENGKANG to RENJONG,SW.0,1
0,TE,FULLW,TE.0_shape,WOODLANDS NORTH to WOODLANDS SOUTH,TE.0,1
1,BP,FULLW,BP.1_shape,SENJA to CHOA CHU KANG,BP.1,1
1,CC,FULLW,CC.1_shape,HARBOURFRONT to DHOBY GHAUT,CC.1,1
1,CE,FULLW,CE.1_shape,MARINA BAY to PROMENADE,CE.1,1
1,CG,FULLW,CG.1_shape,CHANGI AIRPORT to TANAH MERAH,CG.1,1
1,DT,FULLW,DT.1_shape,EXPO to BUKIT PANJANG,DT.1,1
1,EW,FULLW,EW.1_shape,TUAS LINK to PASIR RIS,EW.1,1
1,NE,FULLW,NE.1_shape,PUNGGOL to HARBOURFRONT,NE.1,1
1,NS,FULLW,NS.1_shape,MARINA SOUTH PIER to JURONG EAST,NS.1,1
1,PE,FULLW,PE.1_shape,DAMAI to PUNGGOL,PE.1,1
1,PW,FULLW,PW.1_shape,SOO TECK to PUNGGOL,PW.1,1
1,SE,FULLW,SE.1_shape,RANGGUNG to SENGKANG,SE.1,1
